rank_by_val,tag,axis,hidden,layers,dropout,lambda_phys,features,seed,val_mean_geo,test_mean_geo,test_median,test_p90,epochs,wall_s
1,A_cap_h256_l3,capacity,256,3,0.1,1.0,all21,42,5.6204,5.8043,4.2232,11.8387,24,243.0
2,A_cap_h128_l2,capacity,128,2,0.1,1.0,all21,42,5.6340,5.8328,4.2404,11.8887,25,365.8
3,A_cap_h256_l2,capacity,256,2,0.1,1.0,all21,42,5.6342,5.8184,4.2291,11.8260,18,80.9
4,C_lambda_lam0.1,lambda_phys,128,2,0.1,0.1,all21,42,5.6409,5.8317,4.2405,11.8710,25,130.0
5,B_dropout_dr0.2,dropout,128,2,0.2,1.0,all21,42,5.6438,5.8288,4.2498,11.8354,25,133.0
6,C_lambda_lam0.0,lambda_phys,128,2,0.1,0.0,all21,42,5.6510,5.8476,4.2478,11.8779,25,128.5
7,E_seed_s123,seed,128,2,0.1,1.0,all21,123,5.6515,5.8385,4.2527,11.8905,25,207.5
8,C_lambda_lam0.01,lambda_phys,128,2,0.1,0.01,all21,42,5.6536,5.8511,4.2555,11.8732,25,131.4
9,E_seed_s7,seed,128,2,0.1,1.0,all21,7,5.6659,5.8482,4.2591,11.9291,25,161.8
10,A_cap_h128_l3,capacity,128,3,0.1,1.0,all21,42,5.6749,5.8517,4.2603,11.9062,25,354.2
11,B_dropout_dr0.0,dropout,128,2,0.0,1.0,all21,42,5.6874,5.8706,4.2645,11.9556,20,110.0
12,A_cap_h256_l1,capacity,256,1,0.1,1.0,all21,42,5.7227,5.8996,4.2930,11.9943,19,50.8
13,A_cap_h128_l1,capacity,128,1,0.1,1.0,all21,42,5.7533,5.9342,4.3333,12.0693,23,255.9
14,A_cap_h64_l2,capacity,64,2,0.1,1.0,all21,42,5.7877,5.9801,4.4042,12.1170,25,351.1
15,D_core4,feature_subset,128,2,0.1,1.0,core4,42,5.8068,6.0058,4.3881,12.2091,25,202.6
16,A_cap_h64_l3,capacity,64,3,0.1,1.0,all21,42,5.8292,6.0061,4.4447,12.1431,25,286.4
17,A_cap_h64_l1,capacity,64,1,0.1,1.0,all21,42,5.8766,6.0478,4.4408,12.2388,25,320.1
